"HAFAS_ID";"RMV_ID";"DHID";"HST_NAME";"NAME_FAHRPLAN";"X_IPL_WERT";"Y_IPL_WERT";"X_WGS84";"Y_WGS84";"LNO";"IST_BAHNHOF";"GUELTIG_AB";"GUELTIG_BIS";"VERBUND_1_ISTGLEICH_RMV";"LAND";"RP";"LANDKREIS";"GEMEINDENAME";"ORTSTEILNAME";"AGS_LAND";"AGS_RP";"AGS_LK";"AGS_G";"AGS_OT"
"3016400";"16400";"";"Limburger Straße";"Bad Camberg Limburger Straße";"3447644";"5573971";"8,26417631678027";"50,2994122169831";"VLDWLLW";"0";"01.01.1995";"";"1";"Hessen";"Gießen";"Limburg-Weilburg";"Bad Camberg";"Bad Camberg";"06";"5";"33";"003";"010"
"3016401";"16401";"";"Frankfurter Straße";"Bad Camberg Frankfurter Straße";"3448062";"5573440";"8,27011565202162";"50,2946759288877";"VLDWLLW";"0";"01.01.1995";"";"1";"Hessen";"Gießen";"Limburg-Weilburg";"Bad Camberg";"Bad Camberg";"06";"5";"33";"003";"010"
"3016404";"16404";"";"Röntgenstraße";"Bad Camberg Röntgenstraße";"3448828";"5573494";"8,28085736569907";"50,2952283989394";"VLDWLLW";"0";"01.01.1995";"";"1";"Hessen";"Gießen";"Limburg-Weilburg";"Bad Camberg";"Bad Camberg";"06";"5";"33";"003";"010"
"3016407";"16407";"";"Dorfgemeinschaftshaus";"Idstein-Dasbach Dorfgemeinschaftshaus";"3449532";"5562579";"8,29219256785613";"50,1971699661679";"RTV";"0";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Rheingau-Taunus";"Idstein";"Dasbach";"06";"4";"39";"008";"010"
"3016408";"16408";"";"Am Eichwald";"Niedernhausen-Oberseelbach Am Eichwald";"3449842";"5561231";"8,29671201616197";"50,1850785325266";"RTV";"0";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Rheingau-Taunus";"Niedernhausen";"Oberseelbach";"06";"4";"39";"011";"060"
"3016409";"16409";"";"Ahornstraße";"Niedernhausen Ahornstraße";"3450975";"5558871";"8,31287935126307";"50,1639582514818";"RTV";"0";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Rheingau-Taunus";"Niedernhausen";"Niedernhausen";"06";"4";"39";"011";"030"
"3016411";"16411";"";"Am Meilenstein";"Limburg (Lahn) Am Meilenstein";"3434239";"5583283";"8,07443061280011";"50,3817716167317";"VLDWLLW";"0";"01.01.1995";"";"1";"Hessen";"Gießen";"Limburg-Weilburg";"Limburg a.d.Lahn";"Limburg a.d.Lahn";"06";"5";"33";"009";"040"
"3016412";"16412";"";"B 8";"Limburg (Lahn)-Lindenholzhausen B 8";"3437438";"5582338";"8,1195588373337";"50,3736265900446";"VLDWLLW";"0";"01.01.1995";"";"1";"Hessen";"Gießen";"Limburg-Weilburg";"Limburg a.d.Lahn";"Lindenholzhausen";"06";"5";"33";"009";"050"
"3016413";"16413";"";"B 8";"Selters (Taunus)-Niederselters B 8";"3445220";"5578166";"8,22954824906754";"50,3369012358254";"VLDWLLW";"0";"01.01.1995";"";"1";"Hessen";"Gießen";"Limburg-Weilburg";"Selters (Ts.)";"Niederselters";"06";"5";"33";"014";"040"
"3016414";"16414";"";"Kirchstraße";"Selters (Taunus)-Eisenbach Kirchstraße";"3447213";"5578448";"8,25750045937658";"50,3396184275844";"VLDWLLW";"0";"01.01.1995";"";"1";"Hessen";"Gießen";"Limburg-Weilburg";"Selters (Ts.)";"Eisenbach";"06";"5";"33";"014";"010"
"3016415";"16415";"";"An der Heth";"Selters (Taunus)-Eisenbach An der Heth";"3447090";"5578912";"8,25570758376335";"50,3437783489513";"VLDWLLW";"0";"01.01.1995";"";"1";"Hessen";"Gießen";"Limburg-Weilburg";"Selters (Ts.)";"Eisenbach";"06";"5";"33";"014";"010"
"3016416";"16416";"";"Siedlerhöfe";"Selters (Taunus)-Eisenbach Siedlerhöfe";"3447369";"5579674";"8,25952011842484";"50,3506531342676";"VLDWLLW";"0";"01.01.1995";"";"1";"Hessen";"Gießen";"Limburg-Weilburg";"Selters (Ts.)";"Eisenbach";"06";"5";"33";"014";"010"
"3016417";"16417";"";"Obere Bachstraße";"Selters (Taunus)-Haintchen Obere Bachstraße";"3451523";"5580615";"8,31775941768079";"50,3594693017004";"VLDWLLW";"0";"01.01.1995";"";"1";"Hessen";"Gießen";"Limburg-Weilburg";"Selters (Ts.)";"Haintchen";"06";"5";"33";"014";"020"
"3016418";"16418";"";"Untere Bachstraße";"Selters (Taunus)-Haintchen Untere Bachstraße";"3451245";"5580927";"8,31381252067414";"50,3622509469832";"VLDWLLW";"0";"01.01.1995";"";"1";"Hessen";"Gießen";"Limburg-Weilburg";"Selters (Ts.)";"Haintchen";"06";"5";"33";"014";"020"
"3016419";"16419";"";"Limburger Straße";"Weilrod-Hasselbach Limburger Straße";"3453294";"5578486";"8,34290985901445";"50,3404744845715";"ZV VHT";"0";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Hochtaunus";"Weilrod";"Hasselbach";"06";"4";"34";"013";"060"
"3016420";"16420";"";"Ortsmitte";"Weilburg-Hasselbach Ortsmitte";"3443582";"5594443";"8,2040934156868";"50,4830596663033";"VLDWLLW";"0";"01.01.1995";"";"1";"Hessen";"Gießen";"Limburg-Weilburg";"Weilburg";"Hasselbach";"06";"5";"33";"017";"050"
"3016421";"16421";"";"Ärztehaus";"Bad Camberg Ärztehaus";"3447366";"5574341";"8,26022322737897";"50,3027134561865";"VLDWLLW";"0";"01.01.1995";"";"1";"Hessen";"Gießen";"Limburg-Weilburg";"Bad Camberg";"Bad Camberg";"06";"5";"33";"003";"010"
"3016422";"16422";"";"Siedlung";"Bad Camberg-Dombach Siedlung";"3451513";"5575081";"8,31833176476657";"50,3097216777329";"VLDWLLW";"0";"01.01.1995";"";"1";"Hessen";"Gießen";"Limburg-Weilburg";"Bad Camberg";"Dombach";"06";"5";"33";"003";"020"
"3016423";"16423";"";"Ortsmitte";"Bad Camberg-Dombach Ortsmitte";"3451879";"5574811";"8,32350386394295";"50,3073245888448";"VLDWLLW";"0";"01.01.1995";"";"1";"Hessen";"Gießen";"Limburg-Weilburg";"Bad Camberg";"Dombach";"06";"5";"33";"003";"020"
"3016424";"16424";"";"Siedlung";"Bad Camberg-Schwickershausen Siedlung";"3450505";"5575785";"8,30408981420811";"50,3159662551261";"VLDWLLW";"0";"01.01.1995";"";"1";"Hessen";"Gießen";"Limburg-Weilburg";"Bad Camberg";"Schwickershausen";"06";"5";"33";"003";"050"
"3016425";"16425";"";"Ortsmitte";"Bad Camberg-Schwickershausen Ortsmitte";"3449966";"5575464";"8,29656540451874";"50,3130351139755";"VLDWLLW";"0";"01.01.1995";"";"1";"Hessen";"Gießen";"Limburg-Weilburg";"Bad Camberg";"Schwickershausen";"06";"5";"33";"003";"050"
"3016426";"16426";"";"Schule";"Bad Camberg-Erbach Schule";"3447357";"5575100";"8,2599909515165";"50,3095354798099";"VLDWLLW";"0";"01.01.1995";"";"1";"Hessen";"Gießen";"Limburg-Weilburg";"Bad Camberg";"Erbach";"06";"5";"33";"003";"030"
"3016427";"16427";"";"Taunusschule";"Bad Camberg Taunusschule";"3447901";"5574118";"8,26776276233531";"50,3007564298351";"VLDWLLW";"0";"01.01.1995";"";"1";"Hessen";"Gießen";"Limburg-Weilburg";"Bad Camberg";"Bad Camberg";"06";"5";"33";"003";"010"
